Lake,WaterbodyID,Region,Longitude,Latitude,Elevation (m ASL),Surface area (ha),MAT,MWMT,MCMT,DD_0,DD5,DD_18,DD18,NFFD,Mean_depth,Max_depth,Volume (km3),TDS (mg_L),MEI (TDS/depth),Road Access,Effort,Effort.ha,CaughtFish,Caught.ha,CPUE,Other_Info,Classification,Fetch..m.,Minimum Travel Time,Guiding,Provincial.Park.Campgrounds.and.Rec.Sites,Private.Lots,Lodges.and.Marinas,Permits.and.Leases.for.Camps.and.Cabins,Indian.Reserves,FN.netting,Comment,Exploitation_Rank,Road.Surface,ROAD_ACCES,Distance.to.Nearest.Road..m.,Time.to.Nearest.Road..minutes.,ROAD_NAM_1,Length.of.Nearest.Road.Segment..m.,ROAD_CLASS
Weedon Lake,00296CRKD,Omineca,-123.0574648,54.65448246,763,889.3959273,2.2,14.3,-11.8,1249,1069,5761,20,153,10,17,0.088939593,76,7.6,NR,NA,NA,NA,NA,NA,,,7619.388215,1.51,No,0,0,0,1,1,No,,3,rough,Known Road Acess,3.46,1.49,,248.35,unclassified
Weissener Lake,00285FOXR,Omineca,-125.7669966,57.73851809,955,783.0059835,-0.6,12.6,-15.3,1784,756,6772,8,120,49,94,0.383672932,170,3.469387755,NR,NA,NA,NA,NA,NA,,,9790.674269,NA,Yes,0,0,0,0,0,No,,2,NA,NA,NA,NA,NA,NA,NA
Wellesley,YT_Wellesley,Yukon,-139.821651,62.3462,578,7381,-5.6,13.9,-27.8,3571,813,8582,12,109,23.8,47,1.757,117,4.915966387,NR,3500,0.474190489,NA,NA,NA,Fishing Lodge,Special Management Water,14879.25949,NA,Yes,No,No,Yes,No,No,No,"Large lake, moderate yield, large population, remote, lodge lake with ??? Harvest, likely impact from catch and release",2,NA,NA,NA,NA,NA,NA,NA
West Lake,00318LIAR,Peace,-126.5121913,59.89309153,576,25.58496862,-2.6,14.5,-22.3,2663,939,7481,16,126,4.78,NA,0.001222962,NA,NA,NR,NA,NA,NA,NA,NA,,,1806.087404,2.23,No,1,0,0,0,0,No,,3,rough,Known Road Acess,69.63,2.79,,464.29,unclassified
Wheeler Lake,00487DEAR,Skeena,-129.1551734,59.69421731,691,242.7535291,-1.7,14.1,-20.2,2361,921,7179,14,128,9,31,0.021847818,280,31.11111111,PR,NA,NA,NA,NA,NA,,,3211.40356,0.3,No,1,0,0,0,0,No,informal rec site?,4,rough,Known Road Acess,33.35,1.12,,186.57,unclassified
White,YT_White,Yukon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,NA,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Whitefish,YT_Whitefish,Yukon,-137.392767,67.1449,330,984,-7.4,14.5,-27.6,4020,750,9226,12,107,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,7137.4803,NA,No,No,No,No,No,No,No,#N/A,1,NA,NA,NA,NA,NA,NA,NA
Whitefish Lake,01006STUL,Omineca,-124.9802274,54.57480471,797,726.1080461,2.2,13.9,-11.2,1178,1021,5737,17,151,18,29.9,0.130699448,86,4.777777778,PR,NA,NA,NA,NA,NA,,,6977.306868,2.31,Yes,0,0,0,0,1,No,,4,unknown,Known Road Acess,146.9,6.12,,509.67,unclassified
Williamson,YT_Williamson,Yukon,-135.168083,63.6609,690,492,-4.6,12.7,-22,2964,627,8212,6,107,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,6494.032078,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Williston Lake,00001PARA,Omineca,-123.6272547,55.71047356,671,164769.3261,1.7,14.2,-12.8,1353,1051,5925,18,149,83.13,NA,136.9727408,100,1.202935162,PR,NA,NA,NA,NA,NA,,,225823.2465,4.9,No,10,42,1,5,2,No,"Probably more informal access points than we know of; Lodge e.g. Ft Graham, others? ",5,rough,Known Road Acess,114.54,9.4,,1566.91,unclassified
Witch Lake,01386NATR,Omineca,-124.479396,55.13207178,921,1552.957846,0.6,12.8,-12.9,1478,822,6317,9,132,16.82,NA,0.26120751,88,5.231866825,NR,NA,NA,NA,NA,NA,"Probably fished, citation: http://www.bcadventure.com/adventure/explore/north/fort_st_james/witch.htm",,14806.78695,4.12,No,0,0,0,2,0,No,,4,unknown,Possible Road Access,431.53,5.72,,476.91,unclassified
Wokkpash Lake,00441TOAD,Peace,-124.8639098,58.44767382,1177,321.4562828,-1.2,11.1,-13.8,1772,603,6983,4,114,23,35.5,0.073934945,86,3.739130435,NR,NA,NA,NA,NA,NA,,,6253.529849,NA,Yes,0,0,0,0,0,No,,2,NA,NA,NA,NA,NA,NA,NA
Wolf,YT_Wolf,Yukon,-131.662243,60.6425,986,7350,-3.2,11.6,-20.7,2472,599,7712,4,103,26.6,72,1.955,53,1.992481203,NR,NA,NA,NA,NA,NA,"Fishing lodge, remote but accessed frequently",Conservation Water,21408.74805,NA,Yes,No,No,Yes,No,No,No,"Large lake, moderate yield, large population, remote, lodge lake, unknown harvest but likely low",2,NA,NA,NA,NA,NA,NA,NA
Wolverine,YT_Wolverine,Yukon,-130.253778,61.4585,1123,NA,-4.7,10.3,-21.3,2808,440,8267,2,89,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,12519.81751,NA,No,No,No,No,No,No,No,#N/A,1,NA,NA,NA,NA,NA,NA,NA
Wudtsi Lake,00462NATR,Omineca,-124.8864626,55.42001156,1127,75.80011875,0,11.6,-13,1514,657,6562,5,120,11,22,0.008338013,66,6,NR,NA,NA,NA,NA,NA,,,2148.341744,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Yellowhead Lake,00802UFRA,Omineca,-118.5399058,52.86211635,1108,237.1251342,1.5,13.3,-11.2,1297,930,6010,12,137,10,26,0.023712513,111,11.1,PR,NA,NA,NA,NA,NA,,,5713.62729,0.15,No,1,5,0,0,0,No,Provincial Park campsite,4,rough,Known Road Acess,1.78,1.9,,317,unclassified
